layer,metric,family,rho
1,GC content (control),phosphodiesterase,0.588228315679673
1,GC content (control),rab_gtpase,0.5401095527509597
1,GC content (control),ras_gtpases,0.5188493749399394
1,GC content (control),rho_gtpase,0.6536827630978846
1,GC content (control),serine_protease,0.6000180049710103
1,GC content (control),serotonin_receptor,0.6891362571518349
1,GC content (control),steap_metalloreductase,0.643869045079973
1,GC content (control),sulfotransferase,0.5855097706349001
1,GC content (control),taste2_receptor,0.6603536008052949
1,GC content (control),udp_glucuronosyltransferase,0.6503208681824437
2,"k-mer composition (CDS, k=6)",adam_metallopeptidase,0.5473500781790955
2,"k-mer composition (CDS, k=6)",adamts_metallopeptidase,0.4280698692981248
2,"k-mer composition (CDS, k=6)",adrenoceptor,0.7930824503176797
2,"k-mer composition (CDS, k=6)",alcohol_dehydrogenase,0.4127925550385443
2,"k-mer composition (CDS, k=6)",aldehyde_dehydrogenase,0.4598910420391939
2,"k-mer composition (CDS, k=6)",aldo_keto_reductase,0.5626106116061962
2,"k-mer composition (CDS, k=6)",alkaline_phosphatase,0.3516109793199576
2,"k-mer composition (CDS, k=6)",arachidonate_lipoxygenase,0.6741845387761657
2,"k-mer composition (CDS, k=6)",arf_gtpase,0.611960369469614
2,"k-mer composition (CDS, k=6)",carbonic_anhydrase,0.5320895831127146
2,"k-mer composition (CDS, k=6)",cxc_chemokine_receptor,0.6814570784373926
2,"k-mer composition (CDS, k=6)",cytochrome_p450,0.6212905916183976
2,"k-mer composition (CDS, k=6)",dopamine_receptor,0.709001599661537
2,"k-mer composition (CDS, k=6)",ectonucleotide_pyrophosphatase,0.5873087191954224
2,"k-mer composition (CDS, k=6)",ferritin,0.691289093498068
2,"k-mer composition (CDS, k=6)",flavin_monooxygenase,0.5111806655534918
2,"k-mer composition (CDS, k=6)",globins,0.8001994804415519
2,"k-mer composition (CDS, k=6)",glutamate_metabotropic,0.4337449967432557
2,"k-mer composition (CDS, k=6)",glutaredoxin,0.7544342871394814
2,"k-mer composition (CDS, k=6)",glutathione_peroxidase,0.7877116587233844
2,"k-mer composition (CDS, k=6)",glutathione_s_transferase,0.6172571243316174
2,"k-mer composition (CDS, k=6)",guanylate_binding_protein,0.8406455862977601
2,"k-mer composition (CDS, k=6)",heme_oxygenase,0.7649388347501554
2,"k-mer composition (CDS, k=6)",histamine_receptor,0.6894320291625938
2,"k-mer composition (CDS, k=6)",histone_deacetylase_classI,0.558263612688561
2,"k-mer composition (CDS, k=6)",histone_h4,0.7877050485746138
2,"k-mer composition (CDS, k=6)",hox,0.7356825687864382
2,"k-mer composition (CDS, k=6)",m14_carboxypeptidase,0.5719288958485789
2,"k-mer composition (CDS, k=6)",matrix_metalloproteinase,0.6794230633792906
2,"k-mer composition (CDS, k=6)",metallothionein,0.656896669705263
2,"k-mer composition (CDS, k=6)",muscarinic_receptor,0.6837286731103077
2,"k-mer composition (CDS, k=6)",nadph_oxidase,0.3755853184641174
2,"k-mer composition (CDS, k=6)",nitric_oxide_synthase,0.7244071681413025
2,"k-mer composition (CDS, k=6)",olfactory_receptors,0.6920628725161247
2,"k-mer composition (CDS, k=6)",opsins,0.6145522095198687
2,"k-mer composition (CDS, k=6)",p2y_receptor,0.5870278217781335
2,"k-mer composition (CDS, k=6)",peroxidase,0.5088406535888762
2,"k-mer composition (CDS, k=6)",peroxiredoxin,0.6785102942715637
2,"k-mer composition (CDS, k=6)",phosphodiesterase,0.5156515110784824
2,"k-mer composition (CDS, k=6)",rab_gtpase,0.6384232708584486
2,"k-mer composition (CDS, k=6)",ras_gtpases,0.6611501255102848
2,"k-mer composition (CDS, k=6)",rho_gtpase,0.6560958796673504
2,"k-mer composition (CDS, k=6)",serine_protease,0.5938448591551628
2,"k-mer composition (CDS, k=6)",serotonin_receptor,0.6731552893715504
2,"k-mer composition (CDS, k=6)",steap_metalloreductase,0.5367817606502637
2,"k-mer composition (CDS, k=6)",sulfotransferase,0.5600150145229839
2,"k-mer composition (CDS, k=6)",taste2_receptor,0.6843395833524583
2,"k-mer composition (CDS, k=6)",udp_glucuronosyltransferase,0.3591520666524053
2,patristic tree,adam_metallopeptidase,0.4842784873672658
2,patristic tree,adamts_metallopeptidase,0.3919333075448455
2,patristic tree,adrenoceptor,0.8033468191931887
2,patristic tree,alcohol_dehydrogenase,0.4782137648447808
2,patristic tree,aldehyde_dehydrogenase,0.4014743667046097
2,patristic tree,aldo_keto_reductase,0.4670226671767026
2,patristic tree,alkaline_phosphatase,0.2006587323924785
2,patristic tree,arachidonate_lipoxygenase,0.5910696953113742
2,patristic tree,arf_gtpase,0.4683351306332301
2,patristic tree,carbonic_anhydrase,0.4706381025890825
2,patristic tree,cxc_chemokine_receptor,0.5836512813989653
2,patristic tree,cytochrome_p450,0.5909607307934323
2,patristic tree,dopamine_receptor,0.6463604811170633
2,patristic tree,ectonucleotide_pyrophosphatase,0.580769611075849
2,patristic tree,ferritin,0.7444048550070406
2,patristic tree,flavin_monooxygenase,0.5195914689823651
2,patristic tree,globins,0.7526775014756278
2,patristic tree,glutamate_metabotropic,0.3333456733576418
2,patristic tree,glutaredoxin,0.7107419470161955
2,patristic tree,glutathione_peroxidase,0.5455362741940424
2,patristic tree,glutathione_s_transferase,0.4114775626027726
2,patristic tree,guanylate_binding_protein,0.8111330698287219
2,patristic tree,heme_oxygenase,0.6371034625751606
2,patristic tree,histamine_receptor,0.5500491917395802
2,patristic tree,histone_deacetylase_classI,0.1534538172017356
2,patristic tree,hox,0.6544430034757521
2,patristic tree,m14_carboxypeptidase,0.5163551292890148
2,patristic tree,matrix_metalloproteinase,0.5870184166416675
2,patristic tree,metallothionein,0.4381421645945733
2,patristic tree,muscarinic_receptor,0.6672024907099534
