layer,condition,axis,family,rho
0,kmer4_shuffle,within_family,guanylate_binding_protein,0.6238471673254281
0,kmer4_shuffle,within_family,heme_oxygenase,0.6033174372797013
0,kmer4_shuffle,within_family,histamine_receptor,0.6548040064266121
0,kmer4_shuffle,within_family,histone_deacetylase_classI,0.46560994378383
0,kmer4_shuffle,within_family,histone_h4,0.562032170727823
0,kmer4_shuffle,within_family,hox,0.4210531693562819
0,kmer4_shuffle,within_family,m14_carboxypeptidase,0.4959915095358042
0,kmer4_shuffle,within_family,matrix_metalloproteinase,0.5066177164425838
0,kmer4_shuffle,within_family,metallothionein,0.2488573134801084
0,kmer4_shuffle,within_family,muscarinic_receptor,0.7190221749145047
0,kmer4_shuffle,within_family,nadph_oxidase,0.4988777488415878
0,kmer4_shuffle,within_family,nitric_oxide_synthase,0.6650973401785591
0,kmer4_shuffle,within_family,olfactory_receptors,0.4197653006004151
0,kmer4_shuffle,within_family,opsins,0.4667302237015434
0,kmer4_shuffle,within_family,p2y_receptor,0.5111915823428608
0,kmer4_shuffle,within_family,peroxidase,0.7291490343338751
0,kmer4_shuffle,within_family,peroxiredoxin,0.436117608049974
0,kmer4_shuffle,within_family,phosphodiesterase,0.4299336079498223
0,kmer4_shuffle,within_family,rab_gtpase,0.4254445725072013
0,kmer4_shuffle,within_family,ras_gtpases,0.3609702758035562
0,kmer4_shuffle,within_family,rho_gtpase,0.5119565005766573
0,kmer4_shuffle,within_family,serine_protease,0.5389022497203019
0,kmer4_shuffle,within_family,serotonin_receptor,0.4894458225473858
0,kmer4_shuffle,within_family,steap_metalloreductase,0.619970397598541
0,kmer4_shuffle,within_family,sulfotransferase,0.5354430734259032
0,kmer4_shuffle,within_family,taste2_receptor,0.4704405970031605
0,kmer4_shuffle,within_family,udp_glucuronosyltransferase,0.607867637413092
0,kmer6_shuffle,within_family,adam_metallopeptidase,0.5792274641029106
0,kmer6_shuffle,within_family,adamts_metallopeptidase,0.6708484590866118
0,kmer6_shuffle,within_family,adrenoceptor,0.7212264518493082
0,kmer6_shuffle,within_family,alcohol_dehydrogenase,0.1383637752621709
0,kmer6_shuffle,within_family,aldehyde_dehydrogenase,0.5963716440342293
0,kmer6_shuffle,within_family,aldo_keto_reductase,0.5246453767545026
0,kmer6_shuffle,within_family,alkaline_phosphatase,0.2210439199603286
0,kmer6_shuffle,within_family,arachidonate_lipoxygenase,0.6824477480364579
0,kmer6_shuffle,within_family,arf_gtpase,0.4713557083278875
0,kmer6_shuffle,within_family,carbonic_anhydrase,0.4216121357339489
0,kmer6_shuffle,within_family,cxc_chemokine_receptor,0.7493610956454674
0,kmer6_shuffle,within_family,cytochrome_p450,0.5307637107493468
0,kmer6_shuffle,within_family,dopamine_receptor,0.6042915095783301
0,kmer6_shuffle,within_family,ectonucleotide_pyrophosphatase,0.644153496115817
0,kmer6_shuffle,within_family,ferritin,0.3441300774711609
0,kmer6_shuffle,within_family,flavin_monooxygenase,0.3723805995858072
0,kmer6_shuffle,within_family,globins,0.7183090068840849
0,kmer6_shuffle,within_family,glutamate_metabotropic,0.4286540356728767
0,kmer6_shuffle,within_family,glutaredoxin,0.5051119336353478
0,kmer6_shuffle,within_family,glutathione_peroxidase,0.5744981534975333
0,kmer6_shuffle,within_family,glutathione_s_transferase,0.4092996170560777
0,kmer6_shuffle,within_family,guanylate_binding_protein,0.6452569169960474
0,kmer6_shuffle,within_family,heme_oxygenase,0.69488907319096
0,kmer6_shuffle,within_family,histamine_receptor,0.6645976390642796
0,kmer6_shuffle,within_family,histone_deacetylase_classI,0.523560042185068
0,kmer6_shuffle,within_family,histone_h4,0.5831979614588311
0,kmer6_shuffle,within_family,hox,0.4078738746866794
0,kmer6_shuffle,within_family,m14_carboxypeptidase,0.5446178742474983
0,kmer6_shuffle,within_family,matrix_metalloproteinase,0.5949455983505777
0,kmer6_shuffle,within_family,metallothionein,0.2665859943925006
0,kmer6_shuffle,within_family,muscarinic_receptor,0.6745985631461329
0,kmer6_shuffle,within_family,nadph_oxidase,0.4441956395872455
0,kmer6_shuffle,within_family,nitric_oxide_synthase,0.566938342976908
0,kmer6_shuffle,within_family,olfactory_receptors,0.4748696020753929
0,kmer6_shuffle,within_family,opsins,0.4338388518058022
0,kmer6_shuffle,within_family,p2y_receptor,0.472304928623704
0,kmer6_shuffle,within_family,peroxidase,0.7087880298460456
0,kmer6_shuffle,within_family,peroxiredoxin,0.4864452186132962
0,kmer6_shuffle,within_family,phosphodiesterase,0.458592599268685
0,kmer6_shuffle,within_family,rab_gtpase,0.4340366459552164
0,kmer6_shuffle,within_family,ras_gtpases,0.4295186480639786
0,kmer6_shuffle,within_family,rho_gtpase,0.5034912578775771
0,kmer6_shuffle,within_family,serine_protease,0.539316739631402
