layer,family_a,family_b,cos
29,arf_gtpase,hox,0.555673544466227
29,arf_gtpase,rab_gtpase,0.8406926666196063
29,arf_gtpase,ras_gtpases,0.853576820244925
29,arf_gtpase,rho_gtpase,0.8470148543157171
29,cytochrome_p450,hox,0.9141364836909578
29,cytochrome_p450,rab_gtpase,0.9665035046066427
29,cytochrome_p450,ras_gtpases,0.9878533134038052
29,cytochrome_p450,rho_gtpase,0.9835815161915612
29,hox,rab_gtpase,0.9037972880837106
29,hox,ras_gtpases,0.8966168685964826
29,hox,rho_gtpase,0.8758193787423154
29,rab_gtpase,ras_gtpases,0.98399227930619
29,rab_gtpase,rho_gtpase,0.9655493667535783
29,ras_gtpases,rho_gtpase,0.993320205618025
30,arf_gtpase,cytochrome_p450,0.9951298191301283
30,arf_gtpase,hox,0.9795675971780402
30,arf_gtpase,rab_gtpase,0.9847270488194054
30,arf_gtpase,ras_gtpases,0.9907609048511337
30,arf_gtpase,rho_gtpase,0.9962533028004794
30,cytochrome_p450,hox,0.9909127144531337
30,cytochrome_p450,rab_gtpase,0.9929448078230513
30,cytochrome_p450,ras_gtpases,0.9973551005728655
30,cytochrome_p450,rho_gtpase,0.9991133738910523
30,hox,rab_gtpase,0.999146351169688
30,hox,ras_gtpases,0.9974206449458307
30,hox,rho_gtpase,0.9926738327192052
30,rab_gtpase,ras_gtpases,0.998754237159187
30,rab_gtpase,rho_gtpase,0.9953269128137018
30,ras_gtpases,rho_gtpase,0.9986360918588908
31,arf_gtpase,cytochrome_p450,0.9951298191301283
31,arf_gtpase,hox,0.9795675971780402
31,arf_gtpase,rab_gtpase,0.9847270488194054
31,arf_gtpase,ras_gtpases,0.9907609048511337
31,arf_gtpase,rho_gtpase,0.9962533028004794
31,cytochrome_p450,hox,0.9909127144531337
31,cytochrome_p450,rab_gtpase,0.9929448078230513
31,cytochrome_p450,ras_gtpases,0.9973551005728655
31,cytochrome_p450,rho_gtpase,0.9991133738910523
31,hox,rab_gtpase,0.999146351169688
31,hox,ras_gtpases,0.9974206449458307
31,hox,rho_gtpase,0.9926738327192052
31,rab_gtpase,ras_gtpases,0.998754237159187
31,rab_gtpase,rho_gtpase,0.9953269128137018
31,ras_gtpases,rho_gtpase,0.9986360918588908
