condition,family,rho_angular_vs_natural,rho_angular_speciestree,written_at,generator
kmer6_shuffle,aldehyde_dehydrogenase,0.57823157505174,0.25159506668239834,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,aldo_keto_reductase,0.5863957157596644,0.269406322623831,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,alkaline_phosphatase,0.8175619530108694,0.21133046520043422,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,arachidonate_lipoxygenase,0.5117104775333053,0.34523562787598094,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,arf_gtpase,0.37454120949368147,0.1842845172902044,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,carbonic_anhydrase,0.3491212632804512,0.17090895078234158,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,cxc_chemokine_receptor,0.2395409935623433,0.03781556685088832,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,cytochrome_p450,0.45964745039484367,0.29453562458457144,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,dopamine_receptor,0.2634974012479264,0.31745961412139795,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,ectonucleotide_pyrophosphatase,0.504937702938733,0.2800375917222105,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,ferritin,0.3454898236693168,0.011516600891164944,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,flavin_monooxygenase,0.4988268074227631,0.28069784704472756,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,globins,0.4712264454863547,0.19753177111693454,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,glutamate_metabotropic,0.4168842185911883,0.0652862138069231,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,glutaredoxin,0.5661506202608454,0.15325279911467657,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,glutathione_peroxidase,0.34939318219970916,0.09566279494113482,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,glutathione_s_transferase,0.2901878206113837,0.05949468165205612,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,guanylate_binding_protein,0.25006587615283266,0.2997364953886693,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,heme_oxygenase,0.6340970350404311,0.3526643168152602,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,histamine_receptor,0.48844395364495624,0.30890748895322123,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,histone_deacetylase_classI,0.506367567571362,0.2104888815469243,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,histone_h4,0.47510750119445777,0.10738971173753785,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,hox,0.2794460604682793,0.1476186016592246,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,m14_carboxypeptidase,0.5181268076514164,0.2791891238089599,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,matrix_metalloproteinase,0.4875249803061192,0.2860886141798731,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,metallothionein,0.03715137112592206,0.04552873299510314,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,muscarinic_receptor,0.2431213942627464,0.17470016802665062,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,nadph_oxidase,0.7314677086144007,0.1344010693162557,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,nitric_oxide_synthase,0.5754899277813558,0.15937462935768845,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,olfactory_receptors,0.08566645320921168,0.0023004953716667348,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,opsins,0.4402134159396774,0.11451806065293034,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,p2y_receptor,0.20836307315215974,0.024848727283877176,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,peroxidase,0.7231060217616587,0.2816455075005718,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,peroxiredoxin,0.49808628046733505,0.2715479214821506,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,phosphodiesterase,0.638900011798568,0.27521732442043545,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,rab_gtpase,0.44157479102449987,0.16870105347810213,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,ras_gtpases,0.35676130463410555,0.1430489348307141,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,rho_gtpase,0.4038637245285958,0.1711591200831919,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,serine_protease,0.3569007044104458,0.22810377083473413,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,serotonin_receptor,0.26387149439690505,0.20186659324085882,2026-08-31,mammal_controls_score:transcript_cdsmask
